place_id,name,price_level_combined,user_ratings_total,combined_rating,geometry.location.lat,geometry.location.lng,combined_main_category,sub_category,district,district_cluster,combined_main_category_2
ChIJu2A5TNR6jEcRtvUDXTQCIIk,Paravent Bleu,3.0,137.0,4.3,46.1946887,6.1421485,Chinese,,La Cluse - Philosophes,28,Asian
ChIJ30c3VtR6jEcROxUMMvELE-8,Chic Chicken,2.0,670.0,4.2,46.1952962,6.1421187,Chicken,,La Cluse - Philosophes,31,Fast Food
ChIJoUcxVtR6jEcRUTYJ4j38b3w,Ge Tacos,2.0,236.0,4.2,46.1952944,6.1421772,Mexican,Taco,La Cluse - Philosophes,31,American
ChIJp7wNAtV6jEcRyDG3xZ2pv0o,Café du Marché,3.0,170.0,4.6,46.195738,6.142096,"French, European",,La Cluse - Philosophes,31,European
ChIJbeO7AtV6jEcRWju9Np1MhAc,La Baguette d'Or,3.0,222.0,4.1,46.195906,6.1421571,Chinese,,La Cluse - Philosophes,31,Asian
ChIJn-i8G9V6jEcRAYD4JPwRQrU,Cositas Toto,4.0,4.0,3.8,46.1960328,6.1420471,South American,Colombian,La Cluse - Philosophes,31,American
ChIJLReT6tV6jEcRrSZaVo4ax4U,Toasted,3.0,72.0,4.7,46.1962448,6.1421354,General / Fast food / Snacks / Take Away,Sandwich / Snacks,La Cluse - Philosophes,31,Fast Food
ChIJtwqI4NR6jEcRVSJbN4umyT0,TANUKI,3.0,81.0,4.8,46.196455,6.142391,Japanese,Sushi,La Cluse - Philosophes,31,Asian
ChIJKfc6J9V6jEcR9_ONNLTZymM,Tartares & Co Plainpalais,4.0,673.0,4.4,46.1967107,6.1421487,French,,La Cluse - Philosophes,31,European
ChIJy9P2iIN7jEcRAgwtHkvPPf0,Pretty Patty - COMING SOON,,,,46.1962448,6.1421354,"Hamburger, American",,La Cluse - Philosophes,31,"Hamburger, American"
ChIJT1e9ALt7jEcRl4_JVrvuneo,Toasted,3.0,16.0,4.8,46.1962274,6.1421636,General / Fast food / Snacks / Take Away,Sandwich / Snacks,La Cluse - Philosophes,31,Fast Food
ChIJoxFGNg57jEcRusW7VXgKkJw,Café Librairie Livresse,4.0,184.0,4.6,46.196455,6.142391,General / Café,,La Cluse - Philosophes,31,General
ChIJt7IVf2F7jEcRn11UYGw7Haw,Zem Genève,4.0,64.0,4.7,46.1973437,6.1422277,Turkish,,La Cluse - Philosophes,31,Middle Eastern & African
ChIJ4S90KdV6jEcRnl2MuGfoH84,Café de Plainpalais,4.0,23.0,4.5,46.1973437,6.1422277,General / Restaurant,,La Cluse - Philosophes,31,General
ChIJu5M4KdV6jEcRI6klhu-KTvo,Nord Royal Sa,3.0,6.0,4.2,46.1973437,6.1422277,"European, Turkish",,La Cluse - Philosophes,31,"American, Middle Eastern & African"
ChIJx4zCecp7jEcRinBxN_vaG6o,Maki Poké,3.0,186.0,4.7,46.1974612,6.1421768,Hawaiian,,La Cluse - Philosophes,31,American
ChIJ-UM1LytljEcRdent7yEk_zk,McDonald's Restaurant,3.0,1803.0,3.7,46.1983907,6.1428166,"Hamburger, American",,Cité-Centre,34,"Hamburger, American"
ChIJ75ji2CpljEcRyO3xTEmw12E,Restaurant Boccaccio,3.0,5.0,3.1,46.1986247,6.1425233,"Italian, European",,Cité-Centre,34,European
ChIJWfScP-9ljEcRTbb2YinlZdU,Le Pain Quotidien,2.0,336.0,3.6,46.1986247,6.1425233,General / Fast food / Snacks / Take Away,Sandwich / Snacks,Cité-Centre,34,Fast Food
