,name,place_id,types,price_level,rating,user_ratings_total,vicinity,plus_code.global_code,geometry.location.lat,geometry.location.lng
471,Mimo,ChIJ6RQyb-FljEcRF7xG1Q1hAek,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.8,31,"Pl. de la Synagogue 2, Genève",8FR8643R+25,46.202568,6.1404187
472,Ristorante TEATRO Cucina Italiana,ChIJLaZqyFZljEcRlR8V2zLyA68,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.7,32,"Bd Georges-Favon 15, Genève",8FR8642R+V5,46.2021997,6.1404664
473,Pasta & Vino,ChIJM0ewGdZkjEcR6SD5vVqZq9w,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.2,41,"Rue du Stand 51, Genève",8FR8643R+F5,46.2036311,6.1404139
474,The Little Kitchen,ChIJ544yUChljEcRphEO04xfDsA,"['restaurant', 'bakery', 'store', 'point_of_interest', 'food', 'establishment']",2,4.5,263,"Quai des Moulins 12, Genève",8FR8644V+48,46.2052778,6.1433333
475,Saint-Gervais,ChIJI5dq4ddkjEcRVPEzfdAOtHM,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.6,102,"Rue des Corps-Saints 4, Genève",8FR8644R+HH,46.2063876,6.1414056
476,Lillo,ChIJf7GSPChljEcR2pmtBN45Qwc,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.3,128,"Pl. de Saint-Gervais 1, Genève",8FR8644R+8X,46.2057881,6.1424001
477,ISTANBUL KEBAB,ChIJZdgrmCdljEcRT9sZikvJQP4,"['restaurant', 'food', 'point_of_interest', 'establishment']",,3.6,547,"Rue du Mont-Blanc 21, Genève",8FR8645V+M8,46.2091302,6.1433511
478,"Café - restaurant ""Chez Lili""",ChIJu9o4VN9kjEcRHgBxxzNPc3c,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.3,116,"Rue des Gares 21, Genève",8FR8646V+W2,46.2123912,6.1425802
479,Café Restaurant pizzeria l'Union,ChIJ5U-aVN9kjEcRazdAG8b3zlA,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.4,49,"Rue des Gares 19, Genève",8FR8646V+V2,46.2122049,6.1425678
480,Le Lexique,ChIJxc2gINlkjEcRfP1TAXbmWtQ,"['grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",3,4.6,120,"Rue de la Faucille 14, Genève",8FR8646Q+GX,46.21128,6.139926
481,Corail Rose,ChIJB4yksNhkjEcRY_YH7FimAbU,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.3,227,"Rue de Montbrillant 10, Genève",8FR8646R+JM,46.2115606,6.1416944
482,Lo'13'To,ChIJ-2CsVN9kjEcRvvoEpjQ61So,"['restaurant', 'point_of_interest', 'food', 'establishment']",,5,2,"Rue des Gares 17, Genève",8FR8646R+RX,46.212061,6.1425288
483,Salsabeel,ChIJOV9VVeFkjEcRF7b-e16HiGQ,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,4.2,168,"La Voie-Creuse 21, Genève",8FR864CV+53,46.2204594,6.1426604
484,Jardin de Penthes,ChIJu1frMyVljEcRX8h8p5OexkU,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",,,,"Chem. de l'Impératrice 18, Pregny-Chambésy",8FR864JR+X2,46.2323798,6.1400374
485,Meskerem,ChIJ9XEjLdd6jEcRZZhqmU-D5u0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.3,79,"Rue de Carouge 77, Genève",8FR854QV+XF,46.1899544,6.1435495
